strain,host,plasmid,medium,OD_abs.mean,OD_abs.se,OD_abs.errorpro,OD_culture.mean,OD_norm.mean,OD_norm.median,OD_norm.se,OD_norm.errorpro,OD_norm.rel,OD_norm.rel.errorpro,mumax.mean,mumax.se,mumax.rel,mumax.rel.errorpro,auc.mean,auc.se,auc.rel,auc.rel.errorpro,maxOD.mean,maxOD.se,maxOD.rel,maxOD.rel.errorpro
MG1655+Stm_pKPC,MG1655+Stm,pKPC,M9,0.450955548,0.014450819,0.027295794,0.229600002,2.035381438,2.339694575,0.079416272,0.13787226,1.1731451,0.079466268,0.192604034,0.008250501,0.862491622,0.066613654,5.269436936,0.210680806,0.837395677,0.049056326,0.391666671,0.021101481,0.973810711,0.05403164
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,0.409622225,0.011241412,0.023849717,0.238633331,1.740707148,1.771212085,0.056777983,0.111865773,1.003301899,0.064476752,0.191791241,0.006990934,0.85885189,0.063454973,5.535340436,0.210688421,0.879651889,0.050394666,0.37773333,0.018777711,0.939167895,0.048320706
cESBL1,cESBL1,NA,M9,0.079588889,0.000787547,0.001113759,0.377911111,0.228363683,0.19462102,0.010826341,0.015310758,1,0.067045505,0.423254334,0.018358995,1,0.061342644,8.536891913,0.424531329,1,0.070327465,0.504833331,0.028623714,1,0.080184969
cESBL15,cESBL15,NA,M9,0.080288889,0.000729672,0.001031912,0.329533332,0.247591718,0.246891665,0.004700163,0.006647035,1,0.026846756,0.422271988,0.009729361,1,0.032584199,9.433585095,0.212551826,1,0.031864203,0.597766678,0.023345934,1,0.055232481
cESBL15_pESBL1,cESBL15,pESBL1,M9,0.078466668,0.001074293,0.001289431,0.30906667,0.256161308,0.256538361,0.004307493,0.006496287,1.034611777,0.026237903,0.375352066,0.009670412,0.888886965,0.030722933,8.711958422,0.144669283,0.923504514,0.025848514,0.552933335,0.01386908,0.924998591,0.042934854
cESBL15_pESBL15,cESBL15,pESBL15,M9,0.081600001,0.000643414,0.000981801,0.288533335,0.289015256,0.291084843,0.005630055,0.007861267,1.16730583,0.031750927,0.351871555,0.0082151,0.833281783,0.027332931,9.040638025,0.14479932,0.958345945,0.026492534,0.562166671,0.007884333,0.940444979,0.039025762
cESBL15_pESBL25,cESBL15,pESBL25,M9,0.432144441,0.017900847,0.018326607,0.256444446,1.799864561,1.925551444,0.080624513,0.087565682,7.881570919,0.383448371,0.199946895,0.007037405,0.473502626,0.019918931,6.003346509,0.218221605,0.636380172,0.027215844,0.413366675,0.015839765,0.691518431,0.037835938
cESBL15_pKPC,cESBL15,pKPC,M9,0.080166667,0.000999429,0.001236794,0.321633336,0.251008351,0.251898336,0.003667475,0.006012971,1.099160549,0.026330678,0.345289493,0.011577226,0.817694526,0.033265816,8.586423143,0.131592423,0.910197243,0.024802481,0.55703334,0.008154095,0.931857463,0.038866357
cESBL15_pOXA48,cESBL15,pOXA48,M9,0.082388889,0.001029959,0.001273363,0.335111111,0.246887169,0.249511039,0.002762989,0.005440597,0.997154392,0.021974067,0.377300683,0.012282158,0.893501567,0.035634289,8.944313673,0.047524332,0.948135156,0.021948776,0.566166679,0.00496368,0.947136567,0.037911225
cESBL1_pESBL1,cESBL1,pESBL1,M9,0.076533333,0.000359612,0.000838356,0.375522226,0.207462665,0.205045623,0.003471912,0.010430265,0.90847486,0.045673921,0.354350302,0.019917524,0.83720419,0.059440692,8.684289068,0.184798096,1.017265904,0.055024561,0.549633334,0.026589812,1.088742165,0.081147336
cESBL1_pESBL15,cESBL1,pESBL15,M9,0.0826,0.000917306,0.001228616,0.422266665,0.196184441,0.19614712,0.001988123,0.009510893,0.859087742,0.041648009,0.413972719,0.040018517,0.978070833,0.103631409,9.13707442,0.311798927,1.070304569,0.064551557,0.543733339,0.008401479,1.07705515,0.063295321
cESBL1_pESBL25,cESBL1,pESBL25,M9,0.080455555,0.000485312,0.000932383,0.413644446,0.197569742,0.193928738,0.002876101,0.00979808,0.797965873,0.039573538,0.376938368,0.02425766,0.890571786,0.069115226,8.440779865,0.130860848,0.988741564,0.051503203,0.465733339,0.005868973,0.922548711,0.053584233
cESBL1_pKPC,cESBL1,pKPC,M9,0.079577777,0.000459024,0.00091146,0.428944442,0.186513424,0.191314289,0.001910536,0.009046339,0.753310429,0.036537323,0.352377018,0.022767342,0.83254202,0.06478872,8.633758003,0.330192413,1.011346763,0.063446241,0.517966678,0.02410093,1.026015214,0.075255575
cESBL1_pOXA48,cESBL1,pOXA48,M9,0.078422222,0.000403219,0.000874509,0.378344446,0.215187403,0.205770687,0.005222619,0.0114608,0.942301334,0.050186614,0.371305157,0.013202143,0.877262504,0.049202559,9.283754903,0.259960082,1.087486523,0.062063631,0.546166668,0.014857705,1.081875214,0.068036543
