strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,3,1,B4,0.152500004,0.283199996,0.538488721,1.275073653
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,2,1,B5,0.090999998,0.210199997,0.432921025,1.025102609
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,2,1,C8,0.099799998,0.194499999,0.513110532,1.214981289
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,2,2,A11,0.105700001,0.206300005,0.512360632,1.21320562
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,1,2,F12,0.099299997,0.215100005,0.461645721,1.093119081
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,3,2,G3,0.123000003,0.231299996,0.531776936,1.259180989
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,1,3,A10,0.095600002,0.215900004,0.44279759,1.048489075
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,2,3,D4,0.109999999,0.242500007,0.453608232,1.074087317
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,M9,3,3,E1,0.100199997,0.253699988,0.394954679,0.935203071
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,2,1,D4,0.093400002,0.193399996,0.482936937,1.143534006
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,1,1,G4,0.098999999,0.226799995,0.436507944,1.033595983
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,3,1,H2,0.124700002,0.253500015,0.491913196,1.16478866
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,1,2,B2,0.103699997,0.225099996,0.460684136,1.090842169
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,2,2,E4,0.139200002,0.195099995,0.713480297,1.689431725
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,3,2,F2,0.122900002,0.232500002,0.528602154,1.251663504
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,2,3,A12,0.111699998,0.195600003,0.571063378,1.352206349
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,1,3,B3,0.1017,0.234999999,0.432765961,1.024735437
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,M9,3,3,C5,0.111900002,0.190899998,0.586170786,1.387978794
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,1,1,E8,0.094599999,0.201800004,0.46878096,1.110014431
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,2,1,G10,0.089299999,0.205799997,0.433916426,1.027459594
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,3,1,H5,0.110699996,0.239399999,0.462406001,1.094919329
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,3,2,B4,0.1241,0.208399996,0.595489453,1.410044227
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,1,2,C7,0.1241,0.207100004,0.599227413,1.418895247
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,2,2,E11,0.111299999,0.208800003,0.533045965,1.262185891
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,2,3,F11,0.097800002,0.202999994,0.48177342,1.140778944
