strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
cESBL15,cESBL15,NA,LB,1,1,C2,0.079999998,0.647400022,0.123571201,1.008391502
cESBL15,cESBL15,NA,LB,3,1,D7,0.076700002,0.625400007,0.122641511,1.000804852
cESBL15,cESBL15,NA,LB,2,1,F11,0.075300001,0.667299986,0.112842803,0.92084339
cESBL15,cESBL15,NA,LB,1,2,C4,0.0902,0.695299983,0.129728177,1.058634943
cESBL15,cESBL15,NA,LB,3,2,D9,0.084899999,0.669799984,0.126754257,1.03436654
cESBL15,cESBL15,NA,LB,2,2,E9,0.081900001,0.674199998,0.121477308,0.99130448
cESBL15,cESBL15,NA,LB,2,3,C2,0.074699998,0.659200013,0.113319169,0.924730731
cESBL15,cESBL15,NA,LB,1,3,C11,0.080899999,0.671999991,0.120386904,0.982406337
cESBL15,cESBL15,NA,LB,3,3,H1,0.106299996,0.80430001,0.132164609,1.078517224
cESBL15_pESBL1,cESBL15,pESBL1,LB,3,1,F1,0.075599998,0.725600004,0.104189633,0.850229986
cESBL15_pESBL1,cESBL15,pESBL1,LB,2,1,F6,0.0766,0.674000025,0.113649848,0.927429207
cESBL15_pESBL1,cESBL15,pESBL1,LB,1,1,G11,0.083499998,0.678900003,0.122993073,1.003673742
cESBL15_pESBL1,cESBL15,pESBL1,LB,2,2,B12,0.089100003,0.634299994,0.140469816,1.146291107
cESBL15_pESBL1,cESBL15,pESBL1,LB,3,2,C6,0.081900001,0.735199988,0.111398262,0.909055345
cESBL15_pESBL1,cESBL15,pESBL1,LB,1,2,C11,0.079800002,0.644900024,0.123740114,1.009769902
cESBL15_pESBL1,cESBL15,pESBL1,LB,3,3,A1,0.071000002,0.631799996,0.112377339,0.917045014
cESBL15_pESBL1,cESBL15,pESBL1,LB,1,3,C12,0.078599997,0.658699989,0.119325942,0.973748454
cESBL15_pESBL1,cESBL15,pESBL1,LB,2,3,F6,0.087099999,0.678300023,0.128409253,1.047871984
cESBL15_pESBL15,cESBL15,pESBL15,LB,2,1,A2,0.076800004,0.663699985,0.11571494,0.944281202
cESBL15_pESBL15,cESBL15,pESBL15,LB,1,1,E6,0.081299998,0.645099998,0.12602697,1.028431581
cESBL15_pESBL15,cESBL15,pESBL15,LB,3,1,G7,0.084100001,0.651300013,0.129126361,1.053723878
cESBL15_pESBL15,cESBL15,pESBL15,LB,3,2,A6,0.0942,0.660000026,0.142727267,1.16471283
cESBL15_pESBL15,cESBL15,pESBL15,LB,1,2,C10,0.082800001,0.696099997,0.118948429,0.970667794
cESBL15_pESBL15,cESBL15,pESBL15,LB,2,2,D7,0.092600003,0.688499987,0.134495286,1.097536501
cESBL15_pESBL15,cESBL15,pESBL15,LB,1,3,B8,0.085199997,0.646499991,0.13178654,1.075432026
cESBL15_pESBL15,cESBL15,pESBL15,LB,3,3,D2,0.075800002,0.722800016,0.10486995,0.855781651
cESBL15_pESBL15,cESBL15,pESBL15,LB,2,3,G2,0.072800003,0.723800004,0.100580274,0.820776142
cESBL15_pESBL25,cESBL15,pESBL25,LB,1,1,A6,0.241899997,0.580600023,0.416637939,3.16859232
cESBL15_pESBL25,cESBL15,pESBL25,LB,3,1,B6,0.229200006,0.555899978,0.412304398,3.135635108
cESBL15_pESBL25,cESBL15,pESBL25,LB,2,1,B12,0.227300003,0.546199977,0.416147954,3.164865912
cESBL15_pESBL25,cESBL15,pESBL25,LB,2,2,F6,0.272300005,0.540600002,0.503699601,3.830708963
cESBL15_pESBL25,cESBL15,pESBL25,LB,3,2,F7,0.233899996,0.597000003,0.391792286,2.979637503
cESBL15_pESBL25,cESBL15,pESBL25,LB,1,2,G12,0.189400002,0.572000027,0.33111887,2.518207321
cESBL15_pESBL25,cESBL15,pESBL25,LB,3,3,B1,0.174799994,0.525399983,0.332698895,2.530223642
cESBL15_pESBL25,cESBL15,pESBL25,LB,1,3,D3,0.243100002,0.557900012,0.435741168,3.313875164
cESBL15_pESBL25,cESBL15,pESBL25,LB,2,3,D11,0.164000005,0.531400025,0.308618737,2.347090527
cESBL15_pKPC1,cESBL15,pKPC1,LB,1,1,B11,0.079000004,0.649500012,0.121632028,0.925029321
cESBL15_pKPC1,cESBL15,pKPC1,LB,2,1,D5,0.082500003,0.730300009,0.112967277,0.859132625
cESBL15_pKPC1,cESBL15,pKPC1,LB,3,1,E11,0.084600002,0.742200017,0.113985448,0.866875964
cESBL15_pKPC1,cESBL15,pKPC1,LB,3,2,B8,0.086199999,0.65170002,0.132269443,1.005928414
cESBL15_pKPC1,cESBL15,pKPC1,LB,2,2,C9,0.086099997,0.714900017,0.120436418,0.915936532
cESBL15_pKPC1,cESBL15,pKPC1,LB,1,2,G10,0.095200002,0.664900005,0.143179428,1.088900442
cESBL15_pKPC1,cESBL15,pKPC1,LB,2,3,D6,0.078100003,0.632099986,0.123556407,0.939664504
cESBL15_pKPC1,cESBL15,pKPC1,LB,3,3,E5,0.074299999,0.680299997,0.10921652,0.830607571
cESBL15_pKPC1,cESBL15,pKPC1,LB,1,3,G9,0.083999999,0.707199991,0.11877828,0.903326151
cESBL15_pOXA48,cESBL15,pOXA48,LB,3,1,C1,0.072300002,0.546299994,0.132344871,1.079988235
cESBL15_pOXA48,cESBL15,pOXA48,LB,1,1,F5,0.079000004,0.689300001,0.114609029,0.935256516
cESBL15_pOXA48,cESBL15,pOXA48,LB,2,1,F9,0.078900002,0.676900029,0.11656079,0.951183684
cESBL15_pOXA48,cESBL15,pOXA48,LB,1,2,C2,0.082500003,0.678900003,0.12152011,0.991653762
cESBL15_pOXA48,cESBL15,pOXA48,LB,2,2,C3,0.088399999,0.673300028,0.131293621,1.071409606
cESBL15_pOXA48,cESBL15,pOXA48,LB,3,2,E1,0.082900003,0.639699996,0.129592001,1.057523691
cESBL15_pOXA48,cESBL15,pOXA48,LB,2,3,E2,0.079999998,0.738300025,0.10835703,0.884237649
cESBL15_pOXA48,cESBL15,pOXA48,LB,3,3,F3,0.076099999,0.705200016,0.107912645,0.880611286
cESBL15_pOXA48,cESBL15,pOXA48,LB,1,3,H5,0.075900003,0.717700005,0.105754497,0.862999916
MG1655,MG1655,NA,LB,3,1,D10,0.101499997,0.538600028,0.188451526,1.099931487
MG1655,MG1655,NA,LB,1,1,E2,0.083800003,0.514299989,0.162939928,0.951028421
MG1655,MG1655,NA,LB,2,1,E5,0.1008,0.544200003,0.185226019,1.081105231
MG1655,MG1655,NA,LB,2,2,E2,0.095700003,0.569800019,0.167953668,0.980292024
MG1655,MG1655,NA,LB,3,2,E5,0.102300003,0.529600024,0.19316465,1.127440489
MG1655,MG1655,NA,LB,1,2,F4,0.093900003,0.569000006,0.165026365,0.963206289
MG1655,MG1655,NA,LB,1,3,B11,0.094700001,0.507700026,0.18652747,1.088701385
MG1655,MG1655,NA,LB,3,3,C3,0.080600001,0.560299993,0.143851512,0.839615422
MG1655,MG1655,NA,LB,2,3,F5,0.078299999,0.52609998,0.148831025,0.868679252
MG1655_pESBL1,MG1655,pESBL1,LB,3,1,B8,0.087499999,0.494700015,0.176874865,1.032362207
MG1655_pESBL1,MG1655,pESBL1,LB,1,1,D9,0.094099998,0.502900004,0.18711473,1.092129035
MG1655_pESBL1,MG1655,pESBL1,LB,2,1,E12,0.0889,0.523599982,0.169786102,0.990987357
MG1655_pESBL1,MG1655,pESBL1,LB,2,2,A12,0.124200001,0.4833,0.256983243,1.499929274
MG1655_pESBL1,MG1655,pESBL1,LB,3,2,D5,0.089000002,0.50059998,0.177786666,1.037684099
MG1655_pESBL1,MG1655,pESBL1,LB,1,2,D6,0.0845,0.649100006,0.130180248,0.759820612
MG1655_pESBL1,MG1655,pESBL1,LB,1,3,C4,0.0867,0.516799986,0.167763162,0.979180101
MG1655_pESBL1,MG1655,pESBL1,LB,2,3,C10,0.083099999,0.486799985,0.170706658,0.996360349
MG1655_pESBL1,MG1655,pESBL1,LB,3,3,G7,0.090599999,0.508899987,0.17803105,1.03911049
MG1655_pESBL15,MG1655,pESBL15,LB,3,1,D2,0.071099997,0.481900007,0.147540974,0.861149635
MG1655_pESBL15,MG1655,pESBL15,LB,2,1,D12,0.093999997,0.523800015,0.179457797,1.047437958
MG1655_pESBL15,MG1655,pESBL15,LB,1,1,G2,0.081200004,0.477800012,0.169945587,0.99191822
MG1655_pESBL15,MG1655,pESBL15,LB,3,2,A3,0.1052,0.517499983,0.203285031,1.186509927
MG1655_pESBL15,MG1655,pESBL15,LB,1,2,B3,0.092799999,0.53640002,0.173005211,1.00977627
MG1655_pESBL15,MG1655,pESBL15,LB,2,2,H4,0.097499996,0.523100019,0.186388822,1.087892141
MG1655_pESBL15,MG1655,pESBL15,LB,1,3,A11,0.095200002,0.507000029,0.187771197,1.095960623
MG1655_pESBL15,MG1655,pESBL15,LB,2,3,C6,0.093400002,0.528500021,0.176726581,1.03149672
MG1655_pESBL15,MG1655,pESBL15,LB,3,3,E7,0.090400003,0.520699978,0.173612458,1.013320577
MG1655_pESBL25,MG1655,pESBL25,LB,3,1,B1,0.0779,0.533999979,0.145880155,0.851455964
MG1655_pESBL25,MG1655,pESBL25,LB,1,1,E4,0.096500002,0.493299991,0.195621333,1.141779365
MG1655_pESBL25,MG1655,pESBL25,LB,2,1,F3,0.078699999,0.541999996,0.145202951,0.84750334
MG1655_pESBL25,MG1655,pESBL25,LB,3,2,E10,0.087899998,0.547599971,0.160518631,0.936896083
MG1655_pESBL25,MG1655,pESBL25,LB,1,2,G1,0.136500001,0.554899991,0.245990274,1.435766818
MG1655_pESBL25,MG1655,pESBL25,LB,2,2,H3,0.092,0.52579999,0.174971476,1.021252732
MG1655_pESBL25,MG1655,pESBL25,LB,3,3,D7,0.089900002,0.542800009,0.165622698,0.966686895
MG1655_pESBL25,MG1655,pESBL25,LB,2,3,D10,0.086099997,0.536300004,0.160544465,0.937046867
MG1655_pESBL25,MG1655,pESBL25,LB,1,3,G11,0.088500001,0.527199984,0.167867988,0.979791937
MG1655_pKPC1,MG1655,pKPC1,LB,1,1,B3,0.0858,0.517700016,0.165733044,0.967330949
MG1655_pKPC1,MG1655,pKPC1,LB,3,1,C3,0.082800001,0.504100025,0.164253118,0.958693093
MG1655_pKPC1,MG1655,pKPC1,LB,2,1,H3,0.086599998,0.524299979,0.165172614,0.964059898
MG1655_pKPC1,MG1655,pKPC1,LB,1,2,D8,0.0876,0.542400002,0.161504424,0.942649842
MG1655_pKPC1,MG1655,pKPC1,LB,3,2,D12,0.093800001,0.518899977,0.180767017,1.055079457
MG1655_pKPC1,MG1655,pKPC1,LB,2,2,F3,0.086800002,0.578299999,0.150095109,0.876057307
MG1655_pKPC1,MG1655,pKPC1,LB,1,3,B2,0.088500001,0.547999978,0.161496358,0.942602763
MG1655_pKPC1,MG1655,pKPC1,LB,3,3,B6,0.082900003,0.56129998,0.147692866,0.862036181
MG1655_pKPC1,MG1655,pKPC1,LB,2,3,C7,0.0902,0.545400023,0.165383197,0.965289004
MG1655_pOXA48,MG1655,pOXA48,LB,3,1,A9,0.088,0.516799986,0.170278641,0.99386215
MG1655_pOXA48,MG1655,pOXA48,LB,1,1,C6,0.080899999,0.496199995,0.163039096,0.951607233
MG1655_pOXA48,MG1655,pOXA48,LB,2,1,H4,0.075199999,0.551699996,0.136305962,0.795574452
MG1655_pOXA48,MG1655,pOXA48,LB,2,2,F1,0.082999997,0.580799997,0.142906331,0.834098702
MG1655_pOXA48,MG1655,pOXA48,LB,3,2,G9,0.087499999,0.547399998,0.159846545,0.932973331
MG1655_pOXA48,MG1655,pOXA48,LB,1,2,H1,0.083400004,0.842599988,0.098979355,0.577710945
MG1655_pOXA48,MG1655,pOXA48,LB,1,3,B4,0.128299996,0.512700021,0.25024379,1.460593235
MG1655_pOXA48,MG1655,pOXA48,LB,2,3,F1,0.080399998,0.591099977,0.136017595,0.793891345
MG1655_pOXA48,MG1655,pOXA48,LB,3,3,G3,0.087499999,0.538800001,0.162397918,0.947864882
MG1655+Cm,MG1655+Cm,NA,LB,1,1,D6,0.075000003,0.67110002,0.111756818,0.788102344
MG1655+Cm,MG1655+Cm,NA,LB,3,1,F2,0.081299998,0.821500003,0.098965304,0.697897358
MG1655+Cm,MG1655+Cm,NA,LB,2,1,F8,0.079700001,0.556299984,0.143268026,1.010317483
MG1655+Cm,MG1655+Cm,NA,LB,1,2,B1,0.089100003,0.584599972,0.152411918,1.074799658
MG1655+Cm,MG1655+Cm,NA,LB,3,2,D1,0.086499996,0.581700027,0.148702067,1.048638013
MG1655+Cm,MG1655+Cm,NA,LB,2,2,G2,0.100500003,0.538999975,0.186456414,1.314879392
MG1655+Cm,MG1655+Cm,NA,LB,2,3,E9,0.085500002,0.531799972,0.160774739,1.133773768
MG1655+Cm,MG1655+Cm,NA,LB,3,3,F8,0.084200002,0.517400026,0.162736757,1.1476098
MG1655+Cm,MG1655+Cm,NA,LB,1,3,G8,0.080399998,0.723200023,0.111172559,0.783982184
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,2,1,C10,0.080499999,0.75029999,0.107290418,0.75660556
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,1,1,E1,0.076399997,0.491600007,0.155410895,1.095948263
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,3,1,E9,0.079700001,0.685899973,0.116197702,0.81941919
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,1,2,B5,0.089400001,0.910099983,0.098230966,0.692718851
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,2,2,F5,0.086599998,0.512199998,0.169074577,1.192303725
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,3,2,G5,0.088200003,0.928300023,0.095012389,0.67002164
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,1,3,D1,0.078400001,0.528400004,0.148372446,1.046313545
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,2,3,E12,0.089199997,0.680599988,0.131060827,0.924233052
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,3,3,G1,0.082000002,0.530399978,0.154600312,1.090232081
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,1,1,A11,0.088399999,0.574199975,0.153953331,1.08566961
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,2,1,B9,0.079400003,0.467799991,0.169730664,1.196930411
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,3,1,G9,0.092100002,0.496399999,0.185535862,1.308387715
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,2,2,B11,0.086099997,0.497799993,0.172961025,1.219710722
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,1,2,C12,0.085900001,0.494300008,0.173781104,1.22549387
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,3,2,D2,0.0858,0.567600012,0.151162787,1.065990862
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,1,3,A6,0.090499997,0.59890002,0.151110359,1.065621143
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,2,3,B5,0.076399997,0.515900016,0.148090705,1.044326725
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,3,3,C1,0.090999998,0.527800024,0.172413782,1.215851597
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,3,1,B4,0.079499997,0.519999981,0.152884616,1.078133096
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,2,1,B5,0.094700001,0.52640003,0.179901208,1.268652474
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,2,1,C8,0.109999999,0.45660001,0.240911075,1.698890379
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,2,2,A11,0.0836,0.457199991,0.182852146,1.289462311
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,1,2,F12,0.0933,0.531199992,0.175640063,1.238603137
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,3,2,G3,0.097599998,0.544700027,0.179181188,1.263574937
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,1,3,A10,0.105400003,0.48300001,0.218219464,1.538870506
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,2,3,D4,0.089100003,0.501600027,0.177631576,1.252647166
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,3,3,E1,0.076800004,0.576200008,0.133287057,0.939932291
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,2,1,D4,0.0858,0.533999979,0.160674163,1.133064512
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,1,1,G4,0.087300003,0.540799975,0.161427527,1.138377189
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,3,1,H2,0.077299997,0.571200013,0.135329124,0.954332825
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,1,2,B2,0.097599998,0.618900001,0.15769914,1.112084829
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,2,2,E4,0.104500003,0.556599975,0.18774705,1.323980879
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,3,2,F2,0.086499996,0.595000029,0.145378138,1.025197866
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,2,3,A12,0.092500001,0.512899995,0.18034705,1.271796525
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,1,3,B3,0.111199997,0.562300026,0.197759189,1.39458588
MG1655+Cm_pKPC1,MG1655+Cm,pKPC1,LB,3,3,C5,0.083499998,0.571200013,0.146183466,1.03087699
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,1,1,E8,0.095299996,0.540300012,0.17638348,1.243845668
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,2,1,G10,0.090899996,0.512300014,0.177435085,1.251261523
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,3,1,H5,0.0788,0.556400001,0.141624731,0.998729066
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,3,2,B4,0.090400003,0.901600003,0.100266196,0.70707117
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,1,2,C7,0.088,0.575299978,0.152963676,1.078690622
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,2,2,E11,0.087499999,0.54339999,0.161023188,1.135525815
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,2,3,F11,0.077600002,0.543200016,0.142857143,1.007419961
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,1,3,F12,0.086000003,0.512899995,0.167674018,1.182427067
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,3,3,H2,0.080399998,0.541499972,0.148476457,1.047047024
MG1655+Stm,MG1655+Stm,NA,LB,2,1,B7,0.183799997,0.538399994,0.34138187,1.072077447
MG1655+Stm,MG1655+Stm,NA,LB,3,1,D1,0.130600005,0.562900007,0.232012798,0.72861423
MG1655+Stm,MG1655+Stm,NA,LB,1,1,D11,0.151700005,0.553900003,0.273876158,0.860082149
MG1655+Stm,MG1655+Stm,NA,LB,3,2,B9,0.246999994,0.561999977,0.439501787,1.380213758
MG1655+Stm,MG1655+Stm,NA,LB,2,2,D3,0.209199995,0.575299978,0.363636368,1.141965592
MG1655+Stm,MG1655+Stm,NA,LB,1,2,D11,0.147100002,0.56309998,0.261232475,0.820375859
MG1655+Stm,MG1655+Stm,NA,LB,3,3,D12,0.194000006,0.558700025,0.347234647,1.090457539
MG1655+Stm,MG1655+Stm,NA,LB,1,3,F7,0.182500005,0.568400025,0.321076701,1.008310986
MG1655+Stm,MG1655+Stm,NA,LB,2,3,H6,0.159400001,0.557500005,0.285919282,0.89790244
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,3,1,C4,0.172999993,0.623000026,0.277688581,0.872054702
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,1,1,C5,0.182500005,0.586499989,0.311167959,0.97719352
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,2,1,F10,0.135700002,0.611299992,0.221985938,0.697125825
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,2,2,A10,0.251399994,0.617999971,0.406796126,1.277504726
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,3,2,D10,0.142399997,0.626600027,0.227258204,0.713682877
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,1,2,F11,0.140200004,0.615199983,0.227893381,0.71567759
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,2,3,A7,0.165199995,0.599600017,0.275516995,0.865235042
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,3,3,A9,0.156499997,0.624000013,0.250801272,0.787617654
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,1,3,G4,0.1087,0.664499998,0.16358164,0.513712656
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,2,1,A1,0.200900003,0.585799992,0.342949823,1.077001455
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,1,1,A7,0.210199997,0.53490001,0.392970636,1.234087083
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,3,1,G8,0.227899998,0.564400017,0.403791622,1.268069366
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,3,2,A4,0.239299998,0.585699975,0.408570954,1.283078405
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,1,2,A5,0.390700012,0.545799971,0.715830036,2.247996467
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,2,2,E3,0.183300003,0.565800011,0.323966065,1.01738476
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,2,3,E8,0.180500001,0.56400001,0.320035456,1.005041055
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,3,3,F10,0.194900006,0.542400002,0.359328918,1.128438453
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,1,3,H4,0.154799998,0.549499989,0.281710648,0.884685623
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,1,1,B10,0.164399996,0.492700011,0.333671591,1.047864046
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,3,1,C11,0.178900003,0.549899995,0.325331888,1.021673998
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,2,1,D3,0.144099995,0.51730001,0.278561749,0.874796804
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,2,2,E12,0.247500002,0.552699983,0.447801719,1.406278909
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,1,2,G6,0.229399994,0.556800008,0.41199711,1.293837924
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,3,2,G7,0.178200006,0.559400022,0.318555594,1.000393688
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,2,3,E3,0.189300001,0.605599999,0.312582564,0.981635953
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,3,3,F2,0.118500002,0.579100013,0.204627869,0.642614452
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,1,3,F9,0.188700005,0.522899985,0.36087208,1.133284607
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,3,1,E3,0.163699999,0.48969999,0.334286304,1.049794494
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,2,1,E7,0.256000012,0.575100005,0.445139993,1.397920011
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,1,1,G5,0.247299999,0.549499989,0.450045503,1.4133253
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,3,2,A1,0.364399999,0.519800007,0.70103885,2.201546147
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,1,2,A9,0.442400008,0.543299973,0.814283141,2.557179124
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,2,2,C8,0.241699994,0.566900015,0.426353832,1.33892385
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,1,3,A5,0.167500004,0.508099973,0.329659541,1.035264583
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,2,3,E6,0.172900006,0.57980001,0.298206284,0.936488606
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,LB,3,3,E10,0.229499996,0.560500026,0.409455817,1.285857234
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,1,1,C9,0.208900005,0.546299994,0.382390641,1.200861611
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,2,1,C12,0.163100004,0.51789999,0.314925675,0.988994271
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,3,1,E10,0.157700002,0.556900024,0.283174709,0.889283368
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,3,2,A2,0.300799996,0.510599971,0.589110875,1.850046937
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,1,2,B7,0.234099999,0.574299991,0.407626681,1.280113005
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,2,2,D4,0.232299998,0.575299978,0.40378934,1.268062199
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,3,3,A2,0.238199994,0.42899999,0.555244754,1.74369359
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,1,3,C8,0.165800005,0.549799979,0.301564226,0.947033905
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,2,3,E11,0.197799996,0.560299993,0.353025162,1.108642104
cESBL1,cESBL1,NA,M9,1,1,A10,0.075000003,0.284700006,0.2634352,1.153577473
cESBL1,cESBL1,NA,M9,2,1,B9,0.074500002,0.368299991,0.20228076,0.885783403
cESBL1,cESBL1,NA,M9,2,1,D8,0.068800002,0.424800009,0.161958571,0.709213344
cESBL1,cESBL1,NA,M9,3,2,E8,0.0823,0.416599989,0.197551613,0.865074563
cESBL1,cESBL1,NA,M9,1,2,F9,0.081799999,0.454400003,0.180017602,0.788293479
cESBL1,cESBL1,NA,M9,2,2,G11,0.0792,0.424299985,0.186660387,0.817382102
cESBL1,cESBL1,NA,M9,2,3,B12,0.079599999,0.409000009,0.19462102,0.852241554
cESBL1,cESBL1,NA,M9,2,3,C10,0.094599999,0.198100001,0.477536594,2.091123195
cESBL1,cESBL1,NA,M9,3,3,G5,0.080499999,0.421000004,0.191211398,0.837310888
cESBL1_pESBL1,cESBL1,pESBL1,M9,1,1,A3,0.076399997,0.372599989,0.205045623,0.897890683
cESBL1_pESBL1,cESBL1,pESBL1,M9,1,1,A4,0.071699999,0.250999987,0.285657382,1.250887963
cESBL1_pESBL1,cESBL1,pESBL1,M9,3,1,H6,0.078199998,0.437400013,0.178783711,0.782890295
cESBL1_pESBL1,cESBL1,pESBL1,M9,3,2,E6,0.077399999,0.408199996,0.189612934,0.830311246
cESBL1_pESBL1,cESBL1,pESBL1,M9,2,2,F8,0.076099999,0.370000005,0.205675671,0.90064965
