strain,host,plasmid,medium,mumax,mumax.rel,auc,auc.rel,maxOD,maxOD.rel
MG1655+Cm_pKPC,MG1655+Cm,pKPC,M9,0.234614415,0.988126711,5.457931941,0.910161442,0.327699989,0.879338073
MG1655+Cm_pKPC,MG1655+Cm,pKPC,M9,0.229343606,0.965927619,5.880635882,0.980651296,0.354600012,0.951520604
MG1655+Cm_pKPC,MG1655+Cm,pKPC,M9,0.209670419,0.883069957,6.255317169,1.043132922,0.421799988,1.131842543
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,0.297673224,1.253711813,6.279691056,1.047197497,0.416599989,1.117889057
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,0.227450468,0.95795428,5.571588604,0.929114759,0.33860001,0.908586788
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,0.224327336,0.94480057,5.658959345,0.943684651,0.345999986,0.928443611
MG1655+Stm,MG1655+Stm,NA,M9,0.198521711,0.87995337,5.529853183,0.878779878,0.38440001,0.955743428
MG1655+Stm,MG1655+Stm,NA,M9,0.199299877,0.883402616,6.208257203,0.986588853,0.415399998,1.032819479
MG1655+Stm,MG1655+Stm,NA,M9,0.278992835,1.236644015,7.139836139,1.134631269,0.406800002,1.011437093
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,0.207023967,0.917639875,6.624349163,1.052712352,0.442499995,1.100198884
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,0.210101724,0.931282122,3.858011078,0.613098105,0.337000012,0.837891619
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,0.244425247,1.083422155,6.650048077,1.05679631,0.437000006,1.086524123
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,0.214107436,0.949037558,6.890098607,1.094944082,0.461199999,1.146693175
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,0.253977197,1.125761456,7.815890404,1.242066831,0.477100015,1.186225786
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,0.177766021,0.787953158,5.679670916,0.902588252,0.395000011,0.982098478
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,0.229255627,1.016182365,5.633835567,0.8953043,0.401499987,0.998259532
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,0.215249718,0.954100757,5.873798733,0.933438188,0.407000005,1.011934365
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,0.188744091,0.836613778,6.00020491,0.9535261,0.418900013,1.041521655
MG1655+Stm_pKPC,MG1655+Stm,pKPC,M9,0.205602543,0.911339367,5.703769631,0.906417913,0.41960001,1.043262075
MG1655+Stm_pKPC,MG1655+Stm,pKPC,M9,0.214726587,0.951781964,5.560201641,0.883602721,0.436199993,1.084535031
MG1655+Stm_pKPC,MG1655+Stm,pKPC,M9,0.163480679,0.724632956,4.544339541,0.722166397,0.319200009,0.793635023
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,0.203288756,0.901083438,6.136273263,0.975149483,0.416399986,1.035305775
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,0.167714027,0.743397398,4.876173171,0.774899934,0.31310001,0.778468442
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,0.205379861,0.910352322,5.593574877,0.888906249,0.403699994,1.003729465
