Trial.date,image.ID,Microbetreatment,Assay.replicate,Timepoint,Minutes,initialOD,Total.pollen,number.germ,number.burst,number.tip.burst,Proportion.germinated,Proportion.burst,Proportion_tip_burst,allgerm,allburst
01.16.20,f2,(1:100),2,90m,90,0.001,59,0,2,0,0,0.033898305,0,0,0.033898305
01.16.20,g2,(sterile BK),2,90m,90,0,73,1,0,0,0.01369863,0,0,0.01369863,0
01.16.20,a3,(undiluted),3,90m,90,0.1,50,15,0,5,0.3,0,0.1,0.4,0.1
01.16.20,b3,(1:2),3,90m,90,0.05,71,17,2,13,0.23943662,0.028169014,0.183098592,0.422535211,0.211267606
01.16.20,c3,(1:3),3,90m,90,0.033333333,36,5,0,1,0.138888889,0,0.027777778,0.166666667,0.027777778
01.16.20,d3,(1:5),3,90m,90,0.02,25,9,0,0,0.36,0,0,0.36,0
01.16.20,e3,(1:20),3,90m,90,0.005,21,0,0,0,0,0,0,0,0
01.16.20,f3,(1:100),3,90m,90,0.001,15,0,0,0,0,0,0,0,0
01.16.20,g3,(sterile BK),3,90m,90,0,26,0,0,0,0,0,0,0,0
01.16.20,a1,(undiluted),1,3h,180,0.1,47,9,1,7,0.191489362,0.021276596,0.14893617,0.340425532,0.170212766
01.16.20,b1,(1:2),1,3h,180,0.05,41,6,3,6,0.146341463,0.073170732,0.146341463,0.292682927,0.219512195
01.16.20,c1,(1:3),1,3h,180,0.033333333,38,4,0,11,0.105263158,0,0.289473684,0.394736842,0.289473684
01.16.20,d1,(1:5),1,3h,180,0.02,55,16,4,5,0.290909091,0.072727273,0.090909091,0.381818182,0.163636364
01.16.20,e1,(1:20),1,3h,180,0.005,50,3,2,1,0.06,0.04,0.02,0.08,0.06
01.16.20,f1,(1:100),1,3h,180,0.001,35,1,0,0,0.028571429,0,0,0.028571429,0
01.16.20,g1,(sterile BK),1,3h,180,0,65,2,0,0,0.030769231,0,0,0.030769231,0
01.16.20,a2,(undiluted),2,3h,180,0.1,35,4,1,10,0.114285714,0.028571429,0.285714286,0.4,0.314285714
01.16.20,b2,(1:2),2,3h,180,0.05,28,2,0,5,0.071428571,0,0.178571429,0.25,0.178571429
01.16.20,c2,(1:3),2,3h,180,0.033333333,15,1,0,3,0.066666667,0,0.2,0.266666667,0.2
01.16.20,d2,(1:5),2,3h,180,0.02,56,12,2,6,0.214285714,0.035714286,0.107142857,0.321428571,0.142857143
01.16.20,e2,(1:20),2,3h,180,0.005,57,3,1,1,0.052631579,0.01754386,0.01754386,0.070175439,0.035087719
01.16.20,f2,(1:100),2,3h,180,0.001,42,0,0,0,0,0,0,0,0
01.16.20,g2,(sterile BK),2,3h,180,0,68,0,0,0,0,0,0,0,0
01.16.20,a3,(undiluted),3,3h,180,0.1,27,13,1,1,0.481481481,0.037037037,0.037037037,0.518518519,0.074074074
01.16.20,b3,(1:2),3,3h,180,0.05,30,1,2,11,0.033333333,0.066666667,0.366666667,0.4,0.433333333
01.16.20,c3,(1:3),3,3h,180,0.033333333,38,5,2,4,0.131578947,0.052631579,0.105263158,0.236842105,0.157894737
01.16.20,d3,(1:5),3,3h,180,0.02,48,6,3,5,0.125,0.0625,0.104166667,0.229166667,0.166666667
01.16.20,e3,(1:20),3,3h,180,0.005,60,3,4,3,0.05,0.066666667,0.05,0.1,0.116666667
01.16.20,f3,(1:100),3,3h,180,0.001,48,0,0,0,0,0,0,0,0
01.16.20,g3,(sterile BK),3,3h,180,0,50,0,0,0,0,0,0,0,0
