row,column,Timepoint,Well ID,protein ,Treatment,microbetreatment,pollentreatment,Date
A,11,T0,A11,707.048984,30_477_no pollen,30_477,no pollen,4.18.21
A,12,T0,A12,589.984024,30_477_no pollen,30_477,no pollen,4.18.21
B,1,T0,B1,767.681176,30_477_Fresh,30_477,Fresh,4.18.21
B,2,T0,B2,783.057944,30_477_Fresh,30_477,Fresh,4.18.21
B,5,T0,B5,917.2928,30_477_Ungerm,30_477,Ungerm,4.18.21
B,9,T0,B9,589.984024,30_477_no pollen,30_477,no pollen,4.18.21
A,1,T24,A1,3980.624,30_477_Fresh,30_477,Fresh,4.18.21
A,2,T24,A2,2284.60352,30_477_Fresh,30_477,Fresh,4.18.21
A,3,T24,A3,2994.09032,30_477_Fresh,30_477,Fresh,4.18.21
A,4,T24,A4,2732.55968,30_477_Fresh,30_477,Fresh,4.18.21
A,5,T24,A5,1653.64808,30_477_Ungerm,30_477,Ungerm,4.18.21
A,6,T24,A6,1353.60032,30_477_Ungerm,30_477,Ungerm,4.18.21
A,7,T24,A7,1109.93288,30_477_Ungerm,30_477,Ungerm,4.18.21
A,8,T24,A8,2563.73312,30_477_Ungerm,30_477,Ungerm,4.18.21
A,9,T24,A9,990.06152,30_477_no pollen,30_477,no pollen,4.18.21
A,10,T24,A10,1298.03072,30_477_no pollen,30_477,no pollen,4.18.21
A,11,T24,A11,1006.91528,30_477_no pollen,30_477,no pollen,4.18.21
A,12,T24,A12,1032.36512,30_477_no pollen,30_477,no pollen,4.18.21
B,1,T24,B1,2956.11968,30_477_Fresh,30_477,Fresh,4.18.21
B,2,T24,B2,2918.35208,30_477_Fresh,30_477,Fresh,4.18.21
B,5,T24,B5,1476.78728,30_477_Ungerm,30_477,Ungerm,4.18.21
B,9,T24,B9,973.298,30_477_no pollen,30_477,no pollen,4.18.21
E,1,T0,E1,633.227224,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,2,T0,E2,775.358624,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,3,T0,E3,669.864704,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,4,T0,E4,1040.9846,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,5,T0,E5,845.439896,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,6,T0,E6,869.194016,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,7,T0,E7,853.336064,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,8,T0,E8,845.439896,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,9,T0,E9,604.310936,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,10,T0,E10,519.661784,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,11,T0,E11,505.8598,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,12,T0,E12,505.8598,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,1,T0,F1,744.780064,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
