Minutes,Time_l,Dilution,Well,tube number,length
360,6h,(1;),A3,16,88.953
360,6h,(1;),A3,17,39.56
360,6h,(1;),A3,18,104.845
360,6h,(1;),A3,19,81.612
360,6h,(1;),A3,20,25.83
360,6h,(1;),A3,21,12.548
720,12h,(1;),A1,1,23.006
720,12h,(1;),A1,2,28.308
720,12h,(1;),A1,3,96.109
720,12h,(1;),A1,4,74.027
720,12h,(1;),A1,5,155.864
720,12h,(1;),A1,6,46.078
720,12h,(1;),A1,7,47.509
720,12h,(1;),A1,8,53.291
720,12h,(1;),A1,9,129.442
720,12h,(1;),A1,10,73.849
720,12h,(1;),A1,11,66.975
720,12h,(1;),A1,12,57.103
720,12h,(1;),A2,1,100.539
720,12h,(1;),A2,2,73.648
720,12h,(1;),A2,3,81.947
720,12h,(1;),A2,4,36.606
720,12h,(1;),A2,5,36.513
720,12h,(1;),A2,6,107.927
720,12h,(1;),A2,7,95.942
720,12h,(1;),A2,8,23.472
720,12h,(1;),A2,9,78.355
720,12h,(1;),A2,10,71.33
720,12h,(1;),A2,11,120.267
720,12h,(1;),A2,12,44.887
720,12h,(1;),A2,13,26.725
720,12h,(1;),A2,14,28.041
720,12h,(1;),A2,15,183.587
720,12h,(1;),A2,16,37.052
720,12h,(1;),A2,17,53.248
720,12h,(1;),A2,18,61.391
720,12h,(1;),A2,19,20.957
720,12h,(1;),A2,20,71.081
720,12h,(1;),A2,21,36.709
720,12h,(1;),A3,1,174.648
720,12h,(1;),A3,2,124.228
720,12h,(1;),A3,3,101.434
720,12h,(1;),A3,4,140.908
720,12h,(1;),A3,5,109.322
720,12h,(1;),A3,6,75.02
720,12h,(1;),A3,7,72.648
720,12h,(1;),A3,8,162.158
720,12h,(1;),A3,9,42.218
720,12h,(1;),A3,10,111.904
720,12h,(1;),A3,11,89.884
720,12h,(1;),A3,12,48.513
720,12h,(1;),A3,13,55.03
1440,24h,(1;),A1,1,188.955
1440,24h,(1;),A1,2,107.99
1440,24h,(1;),A1,3,9.813
1440,24h,(1;),A1,4,14.63
1440,24h,(1;),A1,5,141.956
1440,24h,(1;),A1,6,45.921
1440,24h,(1;),A1,7,119.002
1440,24h,(1;),A1,8,49.965
1440,24h,(1;),A1,9,40.633
1440,24h,(1;),A1,10,188.955
1440,24h,(1;),A1,11,107.99
1440,24h,(1;),A1,12,9.813
1440,24h,(1;),A1,13,14.63
1440,24h,(1;),A1,14,141.956
1440,24h,(1;),A1,15,45.921
1440,24h,(1;),A1,16,119.002
1440,24h,(1;),A1,17,49.965
1440,24h,(1;),A1,18,40.633
1440,24h,(1;),A2,1,99.978
1440,24h,(1;),A2,2,67.955
1440,24h,(1;),A2,3,52.748
1440,24h,(1;),A2,4,71.878
1440,24h,(1;),A2,5,51.368
1440,24h,(1;),A2,6,184.285
1440,24h,(1;),A2,7,29.338
1440,24h,(1;),A2,8,39.628
1440,24h,(1;),A2,9,20.468
1440,24h,(1;),A2,10,42.444
1440,24h,(1;),A2,11,61.749
1440,24h,(1;),A3,1,99.978
1440,24h,(1;),A3,2,67.955
1440,24h,(1;),A3,3,52.748
1440,24h,(1;),A3,4,71.878
1440,24h,(1;),A3,5,51.368
1440,24h,(1;),A3,6,184.285
1440,24h,(1;),A3,7,29.338
1440,24h,(1;),A3,8,39.628
1440,24h,(1;),A3,9,20.468
1440,24h,(1;),A3,10,42.444
1440,24h,(1;),A3,11,61.749
